key,year,title,source,doi,doi_url,source_url,pdf_url,local_file,status,license_or_oa_note,note,bib_file
verschueren2024guild,2024,A Diminished Large Carnivore Guild with Contrasting Species-Habitat Associations Persists Outside National Parks in Namibia's Central-Eastern Landscape,Biological Conservation,10.1016/j.biocon.2024.110741,https://doi.org/10.1016/j.biocon.2024.110741,https://research.brighton.ac.uk/en/publications/6387558e-17e5-4a51-b1e7-87a544d01945,https://cris.brighton.ac.uk/ws/files/54398179/a207634_.pdf,references/pdfs/verschueren2024guild_2024.pdf,downloaded open-access PDF,cc-by-nc-nd,already downloaded,cheetah_lit.bib
sousa2026kaza,2026,Multispecies Transboundary Landscape Connectivity in the {KAZA} {TFCA},Scientific Reports,10.1038/s41598-026-58440-y,https://doi.org/10.1038/s41598-026-58440-y,https://doi.org/10.1038/s41598-026-58440-y,https://www.nature.com/articles/s41598-026-58440-y_reference.pdf,references/pdfs/sousa2026kaza_2026.pdf,downloaded open-access PDF,cc-by,already downloaded,cheetah_lit.bib
hofmann2023wilddog,2023,A Three-Step Approach for Assessing Landscape Connectivity via Simulated Dispersal: African Wild Dog Case Study,Landscape Ecology,10.1007/s10980-023-01602-4,https://doi.org/10.1007/s10980-023-01602-4,https://doi.org/10.1007/s10980-023-01602-4,https://link.springer.com/content/pdf/10.1007/s10980-023-01602-4.pdf,references/pdfs/hofmann2023wilddog_2023.pdf,downloaded open-access PDF,cc-by,already downloaded,cheetah_lit.bib
lines2019kafuezambezi,2019,Status of Terrestrial Mammals at the Kafue--Zambezi Interface: Implications for Transboundary Connectivity,Oryx,10.1017/S0030605317001594,https://doi.org/10.1017/S0030605317001594,https://doi.org/10.1017/s0030605317001594,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/889B2ABE647EBE33D813F69C05EA07B3/S0030605317001594a.pdf/div-class-title-status-of-terrestrial-mammals-at-the-kafue-zambezi-interface-implications-for-transboundary-connectivity-div.pdf,references/pdfs/lines2019kafuezambezi_2019.pdf,downloaded open-access PDF,,already downloaded,cheetah_lit.bib
mulenga2025kafue,2025,"Factors Influencing Cheetah (\emph{Acinonyx jubatus}) Distribution in Kafue National Park, Zambia","University of Cape Town, Department of Biological Sciences",,,,,,no open PDF located,,Use the DOI or source link to check library access.,cheetah_lit.bib
mutoro2025kenya,2025,Impact of Anthropogenic Landscape Alteration on the Distribution of Potential Cheetah (\emph{Acinonyx jubatus}) Habitats in Southern Kenya: Revealing Cheetah Behavioural Change,Global Ecology and Conservation,10.1016/j.gecco.2025.e03637,https://doi.org/10.1016/j.gecco.2025.e03637,https://eplus.uni-salzburg.at/doi/10.1016/j.gecco.2025.e03637,https://eplus.uni-salzburg.at/obvusboa/content/titleinfo/13451377/full.pdf,references/pdfs/mutoro2025kenya_2025.pdf,downloaded open-access PDF,,already downloaded,cheetah_lit.bib
dimbleby2024rewilding,2024,Rewilding Landscapes with Apex Predators: Cheetah (\emph{Acinonyx jubatus}) Movements Reveal the Importance of Environmental and Individual Contexts,Frontiers in Conservation Science,10.3389/fcosc.2024.1351366,https://doi.org/10.3389/fcosc.2024.1351366,https://doi.org/10.3389/fcosc.2024.1351366,https://www.frontiersin.org/journals/conservation-science/articles/10.3389/fcosc.2024.1351366/pdf,references/pdfs/dimbleby2024rewilding_2024.pdf,downloaded open-access PDF,public repository/open publisher copy,already downloaded,cheetah_lit.bib
musenge2026liuwa,2026,Four Decades of Spatio-Temporal Habitat Dynamics in a Human-Wildlife Co-Existence Landscape in the Liuwa Ecosystem of Zambia,Discover Geoscience,10.1007/s44288-026-00639-7,https://doi.org/10.1007/s44288-026-00639-7,https://doi.org/10.1007/s44288-026-00639-7,https://link.springer.com/content/pdf/10.1007/s44288-026-00639-7.pdf,references/pdfs/musenge2026liuwa_2026.pdf,downloaded open-access PDF,cc-by-nc-nd,already downloaded,cheetah_lit.bib
buk2018metapopulation,2018,Conservation of Severely Fragmented Populations: Lessons from the Transformation of Uncoordinated Reintroductions of Cheetahs (\emph{Acinonyx jubatus}) into a Managed Metapopulation with Self-Sustained Growth,Biodiversity and Conservation,10.1007/s10531-018-1606-y,https://doi.org/10.1007/s10531-018-1606-y,https://doi.org/10.1007/s10531-018-1606-y,,,no open PDF located,,Use the DOI or source link to check library access.,cheetah_lit.bib
moqanaki2016iran,2017,All Roads Lead to Iran: Predicting Landscape Connectivity of the Last Stronghold for the Critically Endangered Asiatic Cheetah,Animal Conservation,10.1111/acv.12281,https://doi.org/10.1111/acv.12281,https://doi.org/10.1111/acv.12281,https://www.fs.usda.gov/rm/pubs_journals/2016/rmrs_2016_moqanaki_e001.pdf,references/pdfs/moqanaki2016iran_2017.pdf,downloaded open-access PDF,public repository/open publisher copy,already downloaded,cheetah_lit.bib
