from_core,to_core,link_type,straight_line_distance_km,weight_robust,fence_robust,primary_priority_eligible,priority_use,edge_betweenness_normalized_previous,edge_betweenness_normalized_corrected
1,9,KNN+MST,154.41537944395492,no,yes,no,retain as uncertainty/data-collection link,0.004329004329004329,0.003952569169960474
1,13,KNN,244.90902790061494,no,no,no,retain as uncertainty/data-collection link,0.004329004329004329,0.003952569169960474
1,17,KNN,252.023878037409,no,no,no,retain as uncertainty/data-collection link,0.08658008658008658,0.07905138339920947
9,13,KNN+MST,105.35426837856497,yes,yes,yes,rank for primary conservation priority,0.004329004329004329,0.003952569169960474
9,17,KNN+MST,109.03888247059191,yes,yes,yes,rank for primary conservation priority,0.08658008658008658,0.07905138339920947
13,17,KNN,129.20797251521878,yes,no,no,retain as uncertainty/data-collection link,0.08658008658008658,0.07905138339920947
17,24,KNN+MST,208.02239497192116,yes,yes,yes,rank for primary conservation priority,0.329004329004329,0.30039525691699603
18,24,KNN,446.90719459908183,no,yes,no,retain as uncertainty/data-collection link,0.04329004329004326,0.03952569169960471
18,28,KNN,432.96852346378984,yes,yes,yes,rank for primary conservation priority,0.025974025974025986,0.023715415019762855
18,33,KNN+MST,384.4174573305163,yes,yes,yes,rank for primary conservation priority,0.025974025974025983,0.023715415019762855
24,28,KNN+MST,104.12519339210519,yes,yes,yes,rank for primary conservation priority,0.021645021645021644,0.01976284584980237
24,33,KNN,160.96893450405088,yes,yes,yes,rank for primary conservation priority,0.021645021645021644,0.01976284584980237
24,38,KNN,202.2921104231828,yes,yes,yes,rank for primary conservation priority,0.3463203463203463,0.3162055335968379
26,27,KNN+MST,221.81772699410638,yes,yes,yes,rank for primary conservation priority,0.08658008658008658,0.07905138339920947
26,31,KNN+MST,121.00278122526332,yes,yes,yes,rank for primary conservation priority,0.004329004329004329,0.003952569169960474
26,32,KNN,335.0181108628207,yes,yes,yes,rank for primary conservation priority,0.004329004329004329,0.003952569169960474
27,30,KNN,248.17797350617687,yes,no,no,retain as uncertainty/data-collection link,0.21645021645021645,0.1976284584980237
27,31,KNN,341.4807536063997,no,yes,no,retain as uncertainty/data-collection link,0.08658008658008658,0.07905138339920947
27,32,KNN,533.6622988362743,no,yes,no,retain as uncertainty/data-collection link,0.08658008658008658,0.07905138339920947
27,41,KNN+MST,196.80123827895895,yes,yes,yes,rank for primary conservation priority,0.11255411255411256,0.10276679841897232
28,33,KNN+MST,70.30402292850765,yes,yes,yes,rank for primary conservation priority,0.004329004329004329,0.003952569169960474
28,38,KNN+MST,104.14205682594715,no,yes,no,retain as uncertainty/data-collection link,0.08658008658008658,0.07905138339920947
30,36,KNN+MST,76.6116857229216,yes,yes,yes,rank for primary conservation priority,0.015295815295815295,0.013965744400527008
30,40,KNN,169.18924315688355,yes,yes,yes,rank for primary conservation priority,0.2601731601731602,0.23754940711462452
30,41,KNN,205.86217719521227,no,yes,no,retain as uncertainty/data-collection link,0.024963924963924963,0.0227931488801054
31,32,KNN+MST,228.94228132522787,yes,yes,yes,rank for primary conservation priority,0.004329004329004329,0.003952569169960474
33,38,KNN,108.1286078313024,yes,yes,yes,rank for primary conservation priority,0.08658008658008659,0.07905138339920947
36,40,KNN+MST,103.57509881015027,yes,yes,yes,rank for primary conservation priority,0.06399711399711398,0.05843214756258233
36,41,KNN,175.51672721125522,yes,yes,yes,rank for primary conservation priority,0.028282828282828278,0.02582345191040843
36,43,KNN+MST,154.59570528646879,yes,yes,yes,rank for primary conservation priority,0.015656565656565653,0.014295125164690382
38,40,KNN+MST,120.57913223622226,yes,yes,yes,rank for primary conservation priority,0.44805194805194803,0.40909090909090906
38,42,KNN+MST,198.24476336813916,no,yes,no,retain as uncertainty/data-collection link,0.09740259740259741,0.08893280632411067
40,42,KNN,222.0399549515233,yes,yes,yes,rank for primary conservation priority,0.047113997113997115,0.04301712779973649
40,43,KNN,159.56452874268538,yes,yes,yes,rank for primary conservation priority,0.08434343434343435,0.07700922266139659
40,45,KNN,163.2482771731408,no,yes,no,retain as uncertainty/data-collection link,0.11608946608946609,0.10599472990777338
41,43,KNN+MST,128.08581031303578,yes,yes,yes,rank for primary conservation priority,0.04646464646464646,0.04242424242424242
41,45,KNN,183.56920892986318,yes,yes,yes,rank for primary conservation priority,0.09855699855699855,0.08998682476943345
42,50,KNN+MST,141.59480393774714,yes,yes,yes,rank for primary conservation priority,0.07698412698412699,0.07028985507246377
43,45,KNN+MST,57.42828237815441,yes,yes,yes,rank for primary conservation priority,0.014430014430014428,0.013175230566534914
43,49,KNN,177.12475837865634,yes,yes,yes,rank for primary conservation priority,0.04805194805194805,0.04387351778656126
45,49,KNN+MST,139.2838827718412,yes,yes,yes,rank for primary conservation priority,0.04285714285714286,0.03913043478260869
45,50,KNN,276.1340254296822,yes,yes,yes,rank for primary conservation priority,0.04487734487734488,0.040974967061923585
45,53,KNN,280.0446392988118,no,yes,no,retain as uncertainty/data-collection link,0.05952380952380952,0.05434782608695652
49,53,KNN+MST,156.6045976336604,yes,yes,yes,rank for primary conservation priority,0.010822510822510822,0.009881422924901184
50,53,KNN,275.3633962602896,yes,yes,yes,rank for primary conservation priority,0.031385281385281384,0.028656126482213436
