scenario,from_core,to_core,path_length_km,accumulated_cost_raw,cost_change_from_2024_percent
low_growth,1,9,99.87005768509692,158327.90625,0.0
continuation,1,9,102.5979797464545,167918.515625,6.057434600225442
high_development,1,9,105.08326112069089,172023.25,8.64998727916924
low_growth,1,13,213.62236636408824,344623.90625,0.0
continuation,1,13,217.5218613007002,353257.90625,2.5053398337771293
high_development,1,13,215.79393923934148,359070.34375,4.19194293779496
low_growth,1,17,237.5979797464514,423797.5,0.0
continuation,1,17,241.74011537017446,422252.59375,-0.364538783263233
high_development,1,17,256.65180361561056,420087.40625,-0.8754402161409636
low_growth,9,13,28.142135623730223,51173.33203125,0.0
continuation,9,13,28.142135623727768,49453.62109375,-3.360560802352727
high_development,9,13,28.556349186100864,47921.28515625,-6.354964091480449
low_growth,9,17,57.6568542494904,88126.4453125,0.0
continuation,9,17,57.6568542494904,81649.796875,-7.349267764668753
high_development,9,17,57.6568542494904,78727.375,-10.665436781400306
low_growth,13,17,106.74011537017383,197494.875,0.0
continuation,13,17,106.74011537017054,182252.265625,-7.717977175357082
high_development,13,17,106.74011537017164,175707.484375,-11.031876460085357
low_growth,17,24,31.414213562371888,53994.23828125,0.0
continuation,17,24,31.828427124742625,49404.93359375,-8.499619280847746
high_development,17,24,31.828427124742625,46338.0078125,-14.17971752628409
low_growth,18,24,9.41421356237589,25957.55859375,0.0
continuation,18,24,10.242640687121535,26905.908203125,3.653462269765776
high_development,18,24,10.242640687121535,27526.69921875,6.045023915992678
low_growth,18,28,163.42640687118956,283829.09375,0.0
continuation,18,28,165.0832611206776,289503.9375,1.9993876156326909
high_development,18,28,166.74011537017896,293593.53125,3.440252502303598
low_growth,18,33,117.98275605730149,205155.578125,0.0
continuation,18,33,117.98275605729823,208634.046875,1.6955272587716776
high_development,18,33,117.98275605729712,211640.765625,3.161107077502234
low_growth,24,28,21.00000000000093,32787.66796875,0.0
continuation,24,28,21.00000000000093,31964.16796875,-2.511615040096416
high_development,24,28,21.82842712474685,30419.95703125,-7.221345963844304
low_growth,24,33,39.69848480983675,67720.0546875,0.0
continuation,24,33,39.69848480983675,69548.8359375,2.7005017323731764
high_development,24,33,39.69848480983675,71373.546875,5.394992966794479
low_growth,24,38,104.72792206135874,182069.453125,0.0
continuation,24,38,105.97056274847652,183173.71875,0.6065079045642352
high_development,24,38,113.42640687120385,182894.890625,0.4533640793841979
low_growth,26,27,108.56854249492822,212299.09375,0.0
continuation,26,27,108.5685424949293,205575.90625,-3.1668470087381144
high_development,26,27,108.56854249493259,198874.734375,-6.323323919040517
low_growth,26,31,24.31370849898871,47166.49609375,0.0
continuation,26,31,24.31370849898871,45456.3125,-3.62584405326775
high_development,26,31,24.72792206136181,43790.4140625,-7.157796976352802
low_growth,26,32,117.98275605729712,253825.09375,0.0
continuation,26,32,117.98275605729822,241552.125,-4.835207019400539
high_development,26,32,117.9827560572982,228640.734375,-9.92193443245798
low_growth,27,30,211.35533905933312,373502.90625,0.0
continuation,27,30,220.8111831820508,356560.1875,-4.536167849430221
high_development,27,30,221.63961030679724,336339.5625,-9.94994767861997
low_growth,27,31,317.92388155424396,650322.0,0.0
continuation,27,31,321.2375900532344,611571.1875,-5.958711607480602
high_development,27,31,323.06601717798054,579224.0,-10.932737935976332
low_growth,27,32,444.1370849898333,915810.0,0.0
continuation,27,32,446.62236636407533,864392.75,-5.614401458817877
high_development,27,32,448.86500705119926,820328.1875,-10.425941243270984
low_growth,27,41,158.19595949289376,299371.03125,0.0
continuation,27,41,158.19595949289487,289085.46875,-3.435724043523333
high_development,27,41,166.2964645562828,275031.21875,-8.130316550125455
low_growth,28,33,21.00000000000745,36027.02734375,0.0
continuation,28,33,21.414213562380546,35554.47265625,-1.3116671630749441
high_development,28,33,21.414213562380546,35014.85546875,-2.8094792982568753
low_growth,28,38,37.62741699796832,70561.0625,0.0
continuation,28,38,36.38477631084403,69516.5078125,-1.480355667121651
high_development,28,38,36.38477631084431,68277.1953125,-3.236724485972699
low_growth,30,36,30.99999999999907,53208.203125,0.0
continuation,30,36,30.99999999999907,54276.953125,2.0086188542943773
high_development,30,36,30.99999999999907,55345.703125,4.0172377085887545
low_growth,30,40,139.8528137423812,234620.0,0.0
continuation,30,40,143.99494936611634,223865.546875,-4.583775093768647
high_development,30,40,145.40916292849107,212427.5,-9.45891228369278
low_growth,30,41,170.49242404917618,286854.6875,0.0
continuation,30,41,171.07821048680339,267894.84375,-6.609563858007375
high_development,30,41,171.6639969244278,249766.953125,-12.929101733782893
low_growth,31,32,64.72792206134909,120290.890625,0.0
continuation,31,32,64.72792206134909,116060.4296875,-3.516858937131176
high_development,31,32,64.72792206134909,112226.296875,-6.704243112756486
low_growth,33,38,39.69848480982907,76249.4296875,0.0
continuation,33,38,39.69848480982962,79140.96875,3.792210740920501
high_development,33,38,40.87005768508261,81041.140625,6.2842580687335055
low_growth,36,40,63.8406204335631,119231.4375,0.0
continuation,36,40,63.8406204335642,117047.21875,-1.8319151356369414
high_development,36,40,63.8406204335642,114923.484375,-3.6131017249540416
low_growth,36,41,149.610173055266,248247.453125,0.0
continuation,36,41,149.61017305526383,227071.703125,-8.530097583453305
high_development,36,41,150.43860018001,205735.734375,-17.12473510396664
low_growth,36,43,114.22539674441454,255532.96875,0.0
continuation,36,43,116.7106781186589,242160.953125,-5.23299036144431
high_development,36,43,116.71067811865892,227904.796875,-10.811979373992227
low_growth,38,40,25.55634918611079,50401.171875,0.0
continuation,38,40,25.55634918611079,50594.37109375,0.3833228704069691
high_development,38,40,25.55634918611079,50787.5703125,0.7666457408139382
low_growth,38,42,30.28427124746256,54335.640625,0.0
continuation,38,42,30.28427124746256,54303.5,-0.059152012620629704
high_development,38,42,32.62741699796799,53947.390625,-0.714540208846576
