year,percentile,current_threshold,selected_cells,protected_percent,background_percent_matched,difference_percentage_points
2012,50,0.00028172435122542083,1045738,27.52401,31.25813,-3.73412
2012,60,0.00036697142058983445,836590,26.7297,31.25813,-4.52843
2012,70,0.00046212575398385525,627443,25.41825,31.25813,-5.83989
2012,75,0.0005216780118644238,522869,24.79187,31.25813,-6.46626
2012,80,0.0005876653594896197,418295,24.2329,31.25813,-7.02523
2012,85,0.0006805086741223931,313722,24.55805,31.25813,-6.70008
2012,90,0.0008310910779982805,209148,26.31247,31.25813,-4.94566
2012,92.5,0.0009279369842261076,156861,30.20254,31.25813,-1.0556
2012,95,0.0010453956201672554,104574,35.56716,31.25813,4.30903
2012,97.5,0.0012000579154118896,52287,42.13476,31.25813,10.87663
2012,99,0.0013747111661359668,20915,44.17404,31.25813,12.91591
2012,99.5,0.0014786103274673223,10458,41.13597,31.25813,9.87784
2012,99.9,0.001722607878036797,2092,38.09751,31.25813,6.83938
2016,50,0.00027387766749598086,1045749,27.37636,31.25798,-3.88162
2016,60,0.0003604686353355646,836599,26.95079,31.25798,-4.30719
2016,70,0.00045449455501511693,627450,24.90063,31.25798,-6.35735
2016,75,0.0005138756823725998,522875,24.2536,31.25798,-7.00438
2016,80,0.000585691537708044,418301,23.52469,31.25798,-7.73329
2016,85,0.0006789006292819977,313725,23.71822,31.25798,-7.53975
2016,90,0.0008369399001821876,209150,26.21133,31.25798,-5.04665
2016,92.5,0.000945506093557924,156863,30.08676,31.25798,-1.17122
2016,95,0.0010618868982419372,104575,36.18838,31.25798,4.9304
2016,97.5,0.0012075004633516073,52288,40.35343,31.25798,9.09545
2016,99,0.001374288578517735,20916,41.5567,31.25798,10.29872
2016,99.5,0.0014918723609298468,10458,38.47772,31.25798,7.21974
2016,99.9,0.00173540273681283,2092,20.6501,31.25798,-10.60788
2020,50,0.00027096187113784254,1045735,27.26379,31.25803,-3.99424
2020,60,0.00035663144080899656,836588,26.90345,31.25803,-4.35458
2020,70,0.0004551630700007081,627441,25.29831,31.25803,-5.95971
2020,75,0.0005159866996109486,522868,24.81601,31.25803,-6.44201
2020,80,0.0005869953311048448,418294,24.18299,31.25803,-7.07504
2020,85,0.0006788108148612082,313721,24.63463,31.25803,-6.6234
2020,90,0.0008345363894477487,209147,26.42495,31.25803,-4.83307
2020,92.5,0.0009385880548506975,156861,30.00491,31.25803,-1.25312
2020,95,0.0010577583452686667,104575,36.15587,31.25803,4.89784
2020,97.5,0.0012111988617107272,52287,42.3241,31.25803,11.06607
2020,99,0.0013978538336232305,20915,48.41023,31.25803,17.1522
2020,99.5,0.0015068919165059924,10458,43.70817,31.25803,12.45014
2020,99.9,0.00174315320327878,2092,35.37285,31.25803,4.11482
2024,50,0.00026766653172671795,1045728,27.08649,31.25832,-4.17183
2024,60,0.0003558954340405762,836583,26.59019,31.25832,-4.66813
2024,70,0.0004548433644231409,627437,24.72105,31.25832,-6.53727
2024,75,0.0005163336172699928,522864,24.24608,31.25832,-7.01224
2024,80,0.0005888931336812675,418292,23.26867,31.25832,-7.98965
2024,85,0.000680434110108763,313719,23.53762,31.25832,-7.7207
2024,90,0.0008362798253074288,209146,25.54292,31.25832,-5.7154
2024,92.5,0.0009451512014493346,156860,28.83144,31.25832,-2.42688
2024,95,0.0010592793114483356,104573,33.45032,31.25832,2.192
2024,97.5,0.0012161019258201122,52287,38.09742,31.25832,6.8391
2024,99,0.0013963519595563412,20915,44.62826,31.25832,13.36994
2024,99.5,0.0015094740083441138,10458,42.65634,31.25832,11.39802
2024,99.9,0.001726504066027701,2092,31.02294,31.25832,-0.23538
