predictor,built_2024,lights_2024_flaremasked,road_density_5km,terrain_resistance,livestock_cattle,livestock_goats,livestock_sheep,vcf_tree_2024,vcf_nontree_2024,vcf_bare_2024
built_2024,1.0000,0.4296,0.1543,-0.0130,0.1676,0.1411,0.1079,0.0699,0.0534,-0.0565
lights_2024_flaremasked,0.4296,1.0000,0.2730,0.0021,0.2637,0.2131,0.2120,0.1768,0.1027,-0.1525
road_density_5km,0.1543,0.2730,1.0000,-0.0385,0.4057,0.3680,0.3974,0.3272,0.2690,-0.3090
terrain_resistance,-0.0130,0.0021,-0.0385,1.0000,0.0512,0.0679,0.1275,0.1534,-0.1298,-0.0461
livestock_cattle,0.1676,0.2637,0.4057,0.0512,1.0000,0.7744,0.4878,0.5262,0.4351,-0.5026
livestock_goats,0.1411,0.2131,0.3680,0.0679,0.7744,1.0000,0.5315,0.4326,0.2832,-0.3628
livestock_sheep,0.1079,0.2120,0.3974,0.1275,0.4878,0.5315,1.0000,0.0593,-0.0451,0.0013
vcf_tree_2024,0.0699,0.1768,0.3272,0.1534,0.5262,0.4326,0.0593,1.0000,0.6180,-0.8767
vcf_nontree_2024,0.0534,0.1027,0.2690,-0.1298,0.4351,0.2832,-0.0451,0.6180,1.0000,-0.8360
vcf_bare_2024,-0.0565,-0.1525,-0.3090,-0.0461,-0.5026,-0.3628,0.0013,-0.8767,-0.8360,1.0000
