from_core,to_core,importance_rank,edge_betweenness_normalized_corrected,link_type,straight_line_distance_km,priority_evidence_status,weight_robust,fence_robust,vegetation_direction_robust,prior_temporal_interpretation,effective_resistance_2012,effective_resistance_2016,effective_resistance_2020,effective_resistance_2024,final_effective_resistance_change_percent_2012_2024
38,40,1,0.40909090909090906,KNN+MST,120.57913223622226,primary conservation-priority evidence,yes,yes,yes,increasing modeled resistance,0.31457201864003925,0.2787250302667844,0.27687086614092654,0.32961876711035654,4.783244401510195
24,38,2,0.3162055335968379,KNN,202.2921104231828,primary conservation-priority evidence,yes,yes,yes,increasing modeled resistance,0.22333981774357892,0.22377997921415588,0.21044429262531744,0.23995324667164872,7.438632795493738
17,24,3,0.30039525691699603,KNN+MST,208.02239497192116,primary conservation-priority evidence,yes,yes,yes,decreasing modeled resistance,0.27601211864797937,0.26844423379847104,0.25280294429854006,0.26006006849204033,-5.779474551363442
30,40,4,0.23754940711462455,KNN,169.18924315688355,primary conservation-priority evidence,yes,yes,yes,decreasing modeled resistance,0.5997612481308553,0.5875165014839675,0.5405142216778276,0.6210650578997593,3.552048391805394
27,41,5,0.10276679841897234,KNN+MST,196.80123827895895,primary conservation-priority evidence,yes,yes,yes,decreasing modeled resistance,0.6855159859136816,0.639848721393937,0.6340353299051023,0.6413060780267319,-6.449143243249832
41,45,6,0.08998682476943345,KNN,183.56920892986318,primary conservation-priority evidence,yes,yes,yes,decreasing modeled resistance,0.8175744526861592,0.8096501251970578,0.7778894131255141,0.7725884022924315,-5.502379660460895
33,38,7,0.07905138339920949,KNN,108.1286078313024,primary conservation-priority evidence,yes,yes,yes,increasing modeled resistance,0.22631708600177275,0.23411524008692447,0.22187727076832242,0.25600860125504726,13.119431580628401
9,17,8,0.07905138339920947,KNN+MST,109.03888247059191,primary conservation-priority evidence,yes,yes,yes,decreasing modeled resistance,0.39161132728308123,0.38282057706424955,0.36730722129873966,0.37103029145098576,-5.255475109691658
26,27,9,0.07905138339920947,KNN+MST,221.81772699410638,primary conservation-priority evidence,yes,yes,yes,decreasing modeled resistance,0.5013817982526944,0.46766136364495825,0.46264109662192265,0.4753966547448106,-5.182705793956121
40,43,10,0.07700922266139658,KNN,159.56452874268538,primary conservation-priority evidence,yes,yes,yes,decreasing modeled resistance,0.7266117226087869,0.7068471947609978,0.6761552795142893,0.7152981098641649,-1.557036914296164
42,50,11,0.07028985507246377,KNN+MST,141.59480393774714,primary conservation-priority evidence,yes,yes,yes,increasing modeled resistance,0.29037646297978287,0.2952370444223498,0.27987904870801644,0.29216907613761095,0.6173410680165531
36,40,12,0.05843214756258233,KNN+MST,103.57509881015027,primary conservation-priority evidence,yes,yes,yes,increasing modeled resistance,0.45116293273606334,0.4261652458597686,0.4049205836046884,0.45643906996982975,1.1694527300302446
43,49,13,0.04387351778656126,KNN,177.12475837865634,primary conservation-priority evidence,yes,yes,yes,decreasing modeled resistance,0.7919490388826134,0.7880720381180593,0.751212242620739,0.7481753902456579,-5.527331493288647
40,42,14,0.043017127799736495,KNN,222.0399549515233,primary conservation-priority evidence,yes,yes,yes,decreasing modeled resistance,0.27050980521922086,0.24665693856040247,0.245276581838405,0.27598790844248056,2.02510338537276
41,43,15,0.04242424242424241,KNN+MST,128.08581031303578,primary conservation-priority evidence,yes,yes,yes,decreasing modeled resistance,0.6591872002252999,0.6493110762973797,0.6322226076687387,0.6219549596652296,-5.648204417098032
45,50,16,0.04097496706192358,KNN,276.1340254296822,primary conservation-priority evidence,yes,yes,yes,increasing modeled resistance,0.9546313551169869,0.9724242694608929,0.9134846777407335,0.9521566308339275,-0.25923350095243036
45,49,17,0.03913043478260869,KNN+MST,139.2838827718412,primary conservation-priority evidence,yes,yes,yes,decreasing modeled resistance,0.7131023263946148,0.7102755128611381,0.6682245248047995,0.6710686504643151,-5.894480269447225
50,53,18,0.028656126482213436,KNN,275.3633962602896,primary conservation-priority evidence,yes,yes,yes,decreasing modeled resistance,1.1984129095376748,1.2063975925914856,1.1484467921601078,1.1835402781616566,-1.2410273001611534
36,41,19,0.025823451910408426,KNN,175.51672721125522,primary conservation-priority evidence,yes,yes,yes,decreasing modeled resistance,0.615049608678774,0.6081683882349467,0.5697220021839915,0.5877441287700248,-4.439557317564317
18,28,20,0.023715415019762855,KNN,432.96852346378984,primary conservation-priority evidence,yes,yes,yes,increasing modeled resistance,0.4027266956630725,0.41783176689658963,0.388779217237636,0.42733070929811445,6.109357512178941
18,33,21,0.02371541501976285,KNN+MST,384.4174573305163,primary conservation-priority evidence,yes,yes,yes,increasing modeled resistance,0.3725748991222504,0.3884808716451244,0.3650272848961538,0.4083140605457349,9.59247697783249
24,28,22,0.01976284584980237,KNN+MST,104.12519339210519,primary conservation-priority evidence,yes,yes,yes,decreasing modeled resistance,0.1226299803069546,0.12541747367858003,0.11464473087219261,0.12122672157798783,-1.1443031511986508
24,33,23,0.01976284584980237,KNN,160.96893450405088,primary conservation-priority evidence,yes,yes,yes,increasing modeled resistance,0.2071476317197248,0.21495201315588292,0.203815539695555,0.22494235616072486,8.590358621660082
36,43,24,0.014295125164690378,KNN+MST,154.59570528646879,primary conservation-priority evidence,yes,yes,yes,decreasing modeled resistance,0.6139599982166859,0.6168642228684683,0.5742571576624679,0.5913755642720269,-3.678486222271483
30,36,25,0.013965744400527008,KNN+MST,76.6116857229216,primary conservation-priority evidence,yes,yes,yes,increasing modeled resistance,0.2573175602669419,0.28475193052781594,0.23641241694331022,0.27534758703455076,7.006916569900804
43,45,26,0.013175230566534912,KNN+MST,57.42828237815441,primary conservation-priority evidence,yes,yes,yes,decreasing modeled resistance,0.4192294567764474,0.42634861432506543,0.39983856975145504,0.38467040054982554,-8.243470411729763
49,53,27,0.009881422924901184,KNN+MST,156.6045976336604,primary conservation-priority evidence,yes,yes,yes,decreasing modeled resistance,0.9390742808798294,0.9236710559046077,0.8927674161953392,0.9044335808400762,-3.6888136268941265
