from_core,to_core,veg_low_change_percent_2012_2024,veg_balanced_change_percent_2012_2024,veg_high_change_percent_2012_2024,minimum_change_percent,maximum_change_percent,median_change_percent,direction_veg_low,direction_veg_balanced,direction_veg_high,direction_consistent_across_scenarios,interpretation
1,9,9.245991667435877,18.62870043501543,35.419275785674245,9.245991667435877,35.419275785674245,18.62870043501543,increase,increase,increase,yes,directionally stable across vegetation assumptions
1,13,4.146683202717087,8.459589643224815,16.672596489393385,4.146683202717087,16.672596489393385,8.459589643224815,increase,increase,increase,yes,directionally stable across vegetation assumptions
1,17,1.8549480386644186,4.921795659469478,11.548521839284104,1.8549480386644186,11.548521839284104,4.921795659469478,increase,increase,increase,yes,directionally stable across vegetation assumptions
9,13,-4.286481902451665,-7.480048805083735,-13.66246913604699,-13.66246913604699,-4.286481902451665,-7.480048805083735,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
9,17,-5.391714604752692,-8.713449662969595,-14.134988055618694,-14.134988055618694,-5.391714604752692,-8.713449662969595,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
13,17,-7.7910484818869765,-13.785759134719772,-23.194320518658376,-23.194320518658376,-7.7910484818869765,-13.785759134719772,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
17,24,-7.230903772530617,-9.802812894275515,-12.914630262431459,-12.914630262431459,-7.230903772530617,-9.802812894275515,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
18,24,4.864460993009527,9.179456244777832,16.27765444316916,4.864460993009527,16.27765444316916,9.179456244777832,increase,increase,increase,yes,directionally stable across vegetation assumptions
18,28,9.178540216733214,12.577263746588297,16.79060259372525,9.178540216733214,16.79060259372525,12.577263746588297,increase,increase,increase,yes,directionally stable across vegetation assumptions
18,33,5.579014416228397,9.24738456494978,13.992628726039646,5.579014416228397,13.992628726039646,9.24738456494978,increase,increase,increase,yes,directionally stable across vegetation assumptions
24,28,-2.110168548609469,-3.481650269501641,-5.135819226658633,-5.135819226658633,-2.110168548609469,-3.481650269501641,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
24,33,4.873653472625702,8.15466467896164,12.173590717727095,4.873653472625702,12.173590717727095,8.15466467896164,increase,increase,increase,yes,directionally stable across vegetation assumptions
24,38,2.7862695723538953,4.120036560356353,5.233293933121767,2.7862695723538953,5.233293933121767,4.120036560356353,increase,increase,increase,yes,directionally stable across vegetation assumptions
26,27,-2.2845545303711177,-5.015568769176962,-8.854190669045794,-8.854190669045794,-2.2845545303711177,-5.015568769176962,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
26,31,-3.7771552499733025,-5.731198974198507,-5.85201447749194,-5.85201447749194,-3.7771552499733025,-5.731198974198507,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
26,32,-4.212594951975722,-7.193007713727144,-12.252569070504755,-12.252569070504755,-4.212594951975722,-7.193007713727144,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
27,30,-3.1759166987950955,-6.477576276754772,-11.904284119328162,-11.904284119328162,-3.1759166987950955,-6.477576276754772,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
27,31,-3.7023055614125653,-6.485598588128419,-9.280881689834251,-9.280881689834251,-3.7023055614125653,-6.485598588128419,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
27,32,-3.837679414306003,-6.345554974567888,-7.684200468821165,-7.684200468821165,-3.837679414306003,-6.345554974567888,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
27,41,-2.4777503356304837,-4.5166324662903365,-7.53557816947376,-7.53557816947376,-2.4777503356304837,-4.5166324662903365,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
28,33,-0.6086202416322544,-0.708140303009163,-0.7485216009636022,-0.7485216009636022,-0.6086202416322544,-0.708140303009163,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
28,38,-0.13498749025867618,1.1227405627115958,-0.31452671573772006,-0.31452671573772006,1.1227405627115958,-0.13498749025867618,decrease,increase,decrease,no,sensitive to vegetation assumption; retain as uncertainty
30,36,3.2555060719824733,5.2518927305855065,7.574302111773555,3.2555060719824733,7.574302111773555,5.2518927305855065,increase,increase,increase,yes,directionally stable across vegetation assumptions
30,40,-0.043248754500359074,-1.2759254017736654,-3.8151141783137423,-3.8151141783137423,-0.043248754500359074,-1.2759254017736654,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
30,41,-4.787432791572743,-8.71249749762044,-13.530293714566715,-13.530293714566715,-4.787432791572743,-8.71249749762044,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
31,32,-3.446865719517812,-6.427000587002575,-11.35949114468599,-11.35949114468599,-3.446865719517812,-6.427000587002575,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
33,38,8.259541004191142,14.252229369153236,21.81760480748361,8.259541004191142,21.81760480748361,14.252229369153236,increase,increase,increase,yes,directionally stable across vegetation assumptions
36,40,0.3713459280623942,0.6510294297749858,1.0479387867342247,0.3713459280623942,1.0479387867342247,0.6510294297749858,increase,increase,increase,yes,directionally stable across vegetation assumptions
36,41,-5.967642881883715,-10.286350296321217,-14.98448918534504,-14.98448918534504,-5.967642881883715,-10.286350296321217,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
36,43,-0.29855590539142585,-3.448484734702379,-5.9982504521512805,-5.9982504521512805,-0.29855590539142585,-3.448484734702379,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
38,40,1.8129943567551838,2.6250039072855427,2.6410777205140645,1.8129943567551838,2.6410777205140645,2.6250039072855427,increase,increase,increase,yes,directionally stable across vegetation assumptions
